name,calories,protein,carbs,fat,portions,meal_type,photo_path,description,ingredients,is_community
"Zucchini, Carrot & Cheese Tortilla",500,31,39,24,1,breakfast,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/zucchini_carrot_cheese_tortilla.jpg,"Slice zucchini thinly and grate carrot. Sauté zucchini in olive oil for 3–4 minutes. Beat eggs with carrot, salt, pepper and herbs. Pour over zucchini and cook until nearly set. Add cheese and place tortilla over the top. Fold in half and toast both sides until golden.","[{""name"": ""whole-wheat tortilla"", ""quantity"": ""50 g""}, {""name"": ""eggs"", ""quantity"": ""2 piece""}, {""name"": ""zucchini"", ""quantity"": ""150 g""}, {""name"": ""carrot"", ""quantity"": ""60 g""}, {""name"": ""grated mozzarella"", ""quantity"": ""40 g""}, {""name"": ""olive oil"", ""quantity"": ""1 tsp""}, {""name"": ""salt"", ""quantity"": """"}, {""name"": ""black pepper"", ""quantity"": """"}, {""name"": ""herbes de provence"", ""quantity"": """"}]",true
High-Protein French Crêpes with Skyr & Berries,450,35,55,8,1,breakfast,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/high_protein_french_crepes_with_skyr_berries.jpg,"Whisk flour, egg, egg whites and milk. Rest batter for 10 minutes. Cook thin crêpes in a non-stick pan. Fill with skyr and berries. Drizzle with honey.","[{""name"": ""flour"", ""quantity"": ""50 g""}, {""name"": ""egg"", ""quantity"": ""1 piece""}, {""name"": ""egg whites"", ""quantity"": ""100 g""}, {""name"": ""semi-skimmed milk"", ""quantity"": ""100 ml""}, {""name"": ""plain skyr"", ""quantity"": ""150 g""}, {""name"": ""strawberries or raspberries"", ""quantity"": ""100 g""}, {""name"": ""honey"", ""quantity"": ""1 tsp""}, {""name"": ""vanilla"", ""quantity"": """"}]",true
Croque-Madame with Turkey,520,45,39,21,1,breakfast,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/croque_madame_with_turkey.jpg,"Make a light béchamel with butter, flour and milk. Spread mustard on bread and add turkey and half the cheese. Close sandwich and spread béchamel on top. Add remaining Gruyère and bake at 200°C until golden. Fry egg and place on top.","[{""name"": ""slices whole-grain bread"", ""quantity"": ""2 piece""}, {""name"": ""sliced turkey breast"", ""quantity"": ""80 g""}, {""name"": ""gruyère"", ""quantity"": ""30 g""}, {""name"": ""egg"", ""quantity"": ""1 piece""}, {""name"": ""milk"", ""quantity"": ""50 ml""}, {""name"": ""flour"", ""quantity"": ""10 g""}, {""name"": ""butter"", ""quantity"": ""5 g""}, {""name"": ""dijon mustard"", ""quantity"": """"}, {""name"": ""pepper"", ""quantity"": """"}]",true
Savory Breton Galette with Chicken & Egg,500,49,38,17,1,breakfast,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/savory_breton_galette_with_chicken_egg.jpg,"Mix buckwheat flour and water. Cook a thin galette. Add chicken, mushrooms and spinach. Crack egg into center. Add Gruyère. Fold four sides inward and cook until egg is set.","[{""name"": ""buckwheat flour"", ""quantity"": ""50 g""}, {""name"": ""water"", ""quantity"": ""120 ml""}, {""name"": ""cooked chicken breast"", ""quantity"": ""100 g""}, {""name"": ""egg"", ""quantity"": ""1 piece""}, {""name"": ""gruyère"", ""quantity"": ""30 g""}, {""name"": ""mushrooms"", ""quantity"": ""50 g""}, {""name"": ""spinach"", ""quantity"": ""30 g""}, {""name"": ""pepper"", ""quantity"": """"}]",true
"Skyr, Apple & Walnut French Breakfast Bowl",430,30,48,14,1,breakfast,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/skyr_apple_walnut_french_breakfast_bowl.jpg,"Dice apple. Toast oats and walnuts lightly. Put skyr in bowl. Add apple, oats and walnuts. Finish with cinnamon and honey.","[{""name"": ""plain skyr"", ""quantity"": ""250 g""}, {""name"": ""apple"", ""quantity"": ""1 piece""}, {""name"": ""walnuts"", ""quantity"": ""20 g""}, {""name"": ""oats"", ""quantity"": ""20 g""}, {""name"": ""cinnamon"", ""quantity"": """"}, {""name"": ""honey"", ""quantity"": ""1 tsp""}]",true
Omelette Provençale,420,38,13,24,1,breakfast,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/omelette_provencale.jpg,Sauté mushrooms and tomatoes. Add spinach until wilted. Beat eggs and egg whites. Pour into pan. Add vegetables and goat cheese. Fold and cook until set.,"[{""name"": ""eggs"", ""quantity"": ""3 piece""}, {""name"": ""egg whites"", ""quantity"": ""100 g""}, {""name"": ""tomatoes"", ""quantity"": ""100 g""}, {""name"": ""mushrooms"", ""quantity"": ""50 g""}, {""name"": ""spinach"", ""quantity"": ""50 g""}, {""name"": ""goat cheese"", ""quantity"": ""20 g""}, {""name"": ""olive oil"", ""quantity"": ""1 tsp""}, {""name"": ""herbes de provence"", ""quantity"": """"}]",true
French Toast with Skyr & Strawberries,450,29,53,12,1,breakfast,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/french_toast_with_skyr_strawberries.jpg,"Whisk eggs, milk, cinnamon and vanilla. Soak bread briefly. Cook until golden. Serve with skyr and strawberries. Add honey.","[{""name"": ""thick slices whole-grain bread"", ""quantity"": ""2 piece""}, {""name"": ""eggs"", ""quantity"": ""2 piece""}, {""name"": ""milk"", ""quantity"": ""100 ml""}, {""name"": ""skyr"", ""quantity"": ""100 g""}, {""name"": ""strawberries"", ""quantity"": ""100 g""}, {""name"": ""cinnamon"", ""quantity"": """"}, {""name"": ""vanilla"", ""quantity"": """"}, {""name"": ""honey"", ""quantity"": ""1 tsp""}]",true
Smoked Salmon & Cottage Cheese Tartine,410,37,34,15,1,breakfast,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/smoked_salmon_cottage_cheese_tartine.jpg,"Toast bread. Spread cottage cheese. Add smoked salmon. Top with cucumber, dill and lemon. Finish with pepper.","[{""name"": ""slices rye or whole-grain bread"", ""quantity"": ""2 piece""}, {""name"": ""smoked salmon"", ""quantity"": ""100 g""}, {""name"": ""cottage cheese"", ""quantity"": ""120 g""}, {""name"": ""cucumber"", ""quantity"": """"}, {""name"": ""lemon"", ""quantity"": """"}, {""name"": ""dill"", ""quantity"": """"}, {""name"": ""black pepper"", ""quantity"": """"}]",true
Protein-Rich French Yogurt Parfait,390,31,42,10,1,breakfast,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/protein_rich_french_yogurt_parfait.jpg,"Layer skyr, berries, oats and almonds. Repeat layers. Finish with berries and honey.","[{""name"": ""skyr"", ""quantity"": ""250 g""}, {""name"": ""berries"", ""quantity"": ""100 g""}, {""name"": ""oats"", ""quantity"": ""25 g""}, {""name"": ""almonds"", ""quantity"": ""15 g""}, {""name"": ""honey"", ""quantity"": ""1 tsp""}, {""name"": ""vanilla"", ""quantity"": """"}]",true
Chicken & Vegetable Breakfast Frittata,470,50,15,21,1,breakfast,https://bipjodhqsldkyjoecrix.supabase.co/storage/v1/object/public/recipe-photos/chicken_vegetable_breakfast_frittata.jpg,Sauté vegetables. Add diced chicken. Pour over beaten eggs and egg whites. Add cheese. Cook gently and finish under grill until golden.,"[{""name"": ""eggs"", ""quantity"": ""2 piece""}, {""name"": ""egg whites"", ""quantity"": ""120 g""}, {""name"": ""cooked chicken breast"", ""quantity"": ""100 g""}, {""name"": ""zucchini"", ""quantity"": ""100 g""}, {""name"": ""red pepper"", ""quantity"": ""50 g""}, {""name"": ""cheese"", ""quantity"": ""30 g""}, {""name"": ""olive oil"", ""quantity"": ""1 tsp""}, {""name"": ""herbs"", ""quantity"": """"}]",true
