name,description,mealType,portions,calories,protein,carbs,fat,nutriScore,ingredients,image_description
Tartine Beurrée et Confiture de Fraise,"La tartine classique française avec baguette tradition fraîche, beurre doux AOP et confiture artisanale.",breakfast,2,380,8,62,11,A,120g Baguette tradition; 20g Beurre doux AOP; 40g Confiture de fraise,"A crisp French baguette cut lengthwise, spread with golden butter and rich red strawberry jam, served on a vintage ceramic plate with a cup of cafe au lait."
Omelette aux Fines Herbes et Toast,"Omelette baveuse aux herbes fraîches (ciboulette, persil, cerfeuil) servie sur pain de campagne.",breakfast,2,420,22,28,24,A,4 Œufs frais; 2 c. à soupe Ciboulette et persil hachés; 15g Beurre; 80g Pain de campagne,"A fluffy, golden French omelette folded delicately with green fresh herbs peeking out, served alongside toasted rustic sourdough bread."
Flocons d'Avoine au Lait et Miel de Lavande,"Porridge crémeux à la française, doucement mijoté au lait entier et agrémenté de miel de lavande.",breakfast,2,350,14,52,9,A,80g Flocons d'avoine; 350ml Lait entier; 25g Miel de lavande; 1 pincée Pincée de sel,"A warm bowl of creamy oatmeal drizzled with floral honey and sprinkled with a few dried lavender petals, set on a rustic wooden table."
Pain Perdu à la Cinnamon et Sirop d'Érable,Tranches de brioche rassie trempées dans un appareil œuf-lait parfumé à la vanille et poêlées au beurre.,breakfast,2,480,14,58,21,B,120g Brioche rassie; 2 Œufs; 100ml Lait; 15g Beurre; 1 sachet Sucre vanillé,"Thick slices of golden French French toast made from brioche, dusted with powdered sugar and topped with fresh berries."
Muesli Maison au Yaourt Grec et Poire,"Muesli croustillant aux noisettes et amandes, servi sur yaourt grec onctueux et dés de poire.",breakfast,2,410,16,48,16,A,250g Yaourt grec 0%; 80g Muesli avoine/noisette; 1 Poire Williams; 15g Miel,"A glass parfait filled with layers of creamy Greek yogurt, crunchy hazelnut muesli, and diced juicy pears."
Tartine Avocat et Œuf Poché,Pain complet grillé surmonté d'avocat écrasé au citron et de deux œufs pochés coulants.,breakfast,2,440,18,32,26,A,100g Pain complet; 1 Avocat mûr; 2 Œufs; 1 c. à café Jus de citron,Toasted whole wheat bread topped with mashed seasoned avocado and a perfect poached egg with runny yolk bursting over the top.
Brioche Tressée et Gelée de Coing,"Brioche pur beurre artisanale légèrement grillée, accompagnée de gelée de coing traditionnelle.",breakfast,2,430,10,56,18,B,120g Brioche tressée; 10g Beurre; 30g Gelée de coing,"Slices of braided French brioche with a golden crust, served with shiny amber quince jelly in a glass jar."
Œufs Coque et Mouillettes au Beurre Salé,Œufs mollets à la coque accompagnés de bâtonnets de pain grillé tartinés de beurre demi-sel.,breakfast,2,360,16,26,21,B,4 Œufs frais; 80g Baguette grillée; 20g Beurre demi-sel,"Two soft-boiled eggs in porcelain egg cups with tops removed, surrounded by crispy toasted bread soldiers spread with salted butter."
Smoothie Bowl Mûres et Fromage Blanc,"Base de fromage blanc 20% mixé aux mûres sauvages, couverte de graines de chia et d'amandes effilées.",breakfast,2,320,18,38,10,A,300g Fromage blanc 20%; 150g Mûres; 15g Graines de chia; 15g Amandes effilées,"A vibrant purple blackberry smoothie bowl topped with neatly arranged lines of chia seeds, sliced almonds, and fresh blackberries."
Croissant Artisanal et Salade de Fruits Frais,Croissant pur beurre du boulanger accompagné d'une salade rafraîchissante de fruits de saison.,breakfast,2,390,8,48,18,B,2 Croissants artisanaux; 1 Pomme; 1 Orange; 80g Mélange de baies,"A flaky golden-brown French butter croissant served next to a colorful bowl of freshly cut apples, oranges, and berries."
